"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat","hours_per_week_imp"
"1","CS4",12,"Private",5,"M","Husband","Professional","Black","f",40,44.21,"universitaria",FALSE
"2","CS5",21,"Private",6,"M","Wife","White-Collar","White","f",40.5,41.536249419199,"postuniversitara",FALSE
"3","CS6",33,"Private",12,"M","Wife","Service","Black","f",16,43.93,"primaria",FALSE
"4","CS8",15,"Private",6,"S","Husband","Professional","White","f",50.5,38.24,"postuniversitara",FALSE
"5","CS12",7,"Private",5,"S","Husband","White-Collar","White","f",30.5,44.34,"universitaria",FALSE
"6","CS19",27,"Self-Employed",6,"D","Husband","White-Collar","White","f",45.5,44.38,"postuniversitara",FALSE
"7","CS21",38,"Private",16,"X","Husband","Service","Black","f",20,35.87,"secundaria",FALSE
"8","CS24",44,"Private",16,"D","Husband","Service","White","f",40.5,38.3,"secundaria",FALSE
"9","CS37",3,"Private",16,"M","Own-child","White-Collar","White","f",25.5,47.22,"secundaria",FALSE
"10","CS43",33,"Private",16,"X","Husband","White-Collar","White","f",40.5,40.93,"secundaria",FALSE
"11","CS47",28,"Private",6,"D","Husband","White-Collar","White","f",40.5,45.05,"postuniversitara",FALSE
"12","CS50",9,"Private",2,"M","Not-in-family","White-Collar","Other","f",40.5,38.88,"universitaria",FALSE
"13","CS51",2,"Private",16,"S","Wife","Service","White","f",30.5,37.74,"secundaria",FALSE
"14","CS52",31,"Private",7,"M","Own-child","Professional","White","f",60.5,45.8,"postuniversitara",FALSE
"15","CS66",12,"Private",2,"D","Husband","White-Collar","White","f",40,44.75,"universitaria",FALSE
"16","CS67",37,"Private",16,"M","Not-in-family","White-Collar","White","f",40.5,48.48,"secundaria",FALSE
"17","CS71",15,"Private",5,"X","Own-child","Sales","Black","f",40,38.18,"universitaria",FALSE
"18","CS78",2,"Private",14,"S","Husband","Service","White","f",22,33.93,"secundaria",FALSE
"19","CS82",30,"Private",16,"M","Husband","Service","White","f",40.5,43.14,"secundaria",FALSE
"20","CS84",28,"Private",16,"D","Husband","Blue-Collar","White","f",40,43.6,"secundaria",FALSE
"21","CS85",37,"Private",16,"D","Not-in-family","Sales","White","f",35.5,38.99,"secundaria",FALSE
"22","CS89",27,"Government",8,"S","Not-in-family","Professional","White","f",50,45.1,"postuniversitara",FALSE
"23","CS91",21,"Private",2,"D","Husband","Blue-Collar","White","f",40,44.4,"universitaria",FALSE
"24","CS92",12,"Private",2,"D","Unmarried","Blue-Collar","Black","f",25.5,42.79,"universitaria",FALSE
"25","CS93",14,"Private",16,"M","Unmarried","Sales","Asian-Pac-Islander","f",35,40.72,"secundaria",FALSE
"26","CS98",32,"Private",4,"D","Husband","White-Collar","White","f",40.5,48.43,"universitaria",FALSE
"27","CS102",31,"Self-Employed",6,"S","Husband","Professional","White","f",50,38.76,"postuniversitara",FALSE
"28","CS103",4,"Private",2,"S","Not-in-family","Service","White","f",40,37.41,"universitaria",FALSE
"29","CS106",1,"Other/Unknown",13,"S","Husband","Other/Unknown","White","f",32,33.24,"primaria",FALSE
"30","CS108",15,"Government",16,"S","Own-child","White-Collar","White","f",40.5,43.58,"secundaria",FALSE
"31","CS113",12,"Private",2,"M","Husband","Sales","White","f",25.5,38.45,"universitaria",FALSE
"32","CS114",20,"Private",16,"S","Wife","Blue-Collar","White","f",40.5,40.96,"secundaria",FALSE
"33","CS120",5,"Private",2,"S","Not-in-family","Service","White","f",40.5,35.88,"universitaria",FALSE
"34","CS125",31,"Private",5,"M","Own-child","White-Collar","White","f",40,52.33,"universitaria",FALSE
"35","CS126",4,"Private",2,"S","Wife","White-Collar","White","f",28.5,41.24,"universitaria",FALSE
"36","CS130",12,"Private",4,"S","Not-in-family","Sales","White","f",60.5,39.22,"universitaria",FALSE
"37","CS131",8,"Private",16,"S","Not-in-family","Service","White","f",40,40.6,"secundaria",FALSE
"38","CS134",30,"Private",4,"D","Husband","Service","Black","f",36.5,39.34,"universitaria",FALSE
"39","CS137",11,"Private",3,"M","Husband","White-Collar","White","f",35,44.35,"universitaria",FALSE
"40","CS141",11,"Private",2,"S","Husband","Sales","White","f",40,39.51,"universitaria",FALSE
"41","CS143",29,"Private",3,"S","Own-child","Professional","White","f",40,36.82,"universitaria",FALSE
"42","CS145",15,"Private",16,"S","Other-relative","Blue-Collar","Black","f",30.5,37.42,"secundaria",FALSE
"43","CS147",20,"Private",16,"W","Husband","Service","White","f",24.5,35.17,"secundaria",FALSE
"44","CS149",27,"Other/Unknown",2,"D","Husband","Other/Unknown","White","f",40,40.79,"universitaria",FALSE
"45","CS150",31,"Government",2,"D","Not-in-family","White-Collar","White","f",38,46.08,"universitaria",FALSE
"46","CS151",18,"Private",16,"S","Unmarried","White-Collar","White","f",40.5,44.59,"secundaria",FALSE
"47","CS152",17,"Private",5,"S","Not-in-family","White-Collar","Asian-Pac-Islander","f",40.5,44.26,"universitaria",FALSE
"48","CS160",54,"Other/Unknown",9,"D","Other-relative","Other/Unknown","White","f",20,33.51,"primaria",FALSE
"49","CS161",9,"Private",16,"S","Not-in-family","Service","White","f",40.5,39.85,"secundaria",FALSE
"50","CS162",28,"Self-Employed",6,"D","Unmarried","White-Collar","Asian-Pac-Islander","f",40.5,39.26,"postuniversitara",FALSE
"51","CS163",12,"Private",16,"S","Unmarried","White-Collar","Asian-Pac-Islander","f",40.5,38.81,"secundaria",FALSE
"52","CS165",20,"Private",2,"D","Husband","Service","White","f",40,38.55,"universitaria",FALSE
"53","CS169",52,"Government",3,"W","Own-child","Professional","White","f",20.5,45.52,"universitaria",FALSE
"54","CS175",11,"Private",16,"M","Husband","Sales","White","f",25,39.87,"secundaria",FALSE
"55","CS181",27,"Private",2,"D","Husband","White-Collar","White","f",40.5,42.46,"universitaria",FALSE
"56","CS186",25,"Self-Employed",5,"D","Husband","White-Collar","White","f",40.5,42.07,"universitaria",FALSE
"57","CS187",37,"Other/Unknown",5,"D","Not-in-family","Other/Unknown","White","f",50,40.34,"universitaria",FALSE
"58","CS188",15,"Private",6,"M","Not-in-family","Professional","White","f",50,44.94,"postuniversitara",FALSE
"59","CS190",22,"Private",2,"D","Husband","Blue-Collar","Black","f",28.5,41.08,"universitaria",FALSE
"60","CS197",24,"Government",6,"S","Not-in-family","White-Collar","White","f",55,50.39,"postuniversitara",FALSE
"61","CS200",10,"Private",6,"S","Not-in-family","Professional","White","f",40,37.95,"postuniversitara",FALSE
"62","CS203",26,"Government",2,"S","Husband","Professional","White","f",40.5,43.03,"universitaria",FALSE
"63","CS204",21,"Government",16,"D","Not-in-family","White-Collar","White","f",35.5,49.04,"secundaria",FALSE
"64","CS205",2,"Private",14,"S","Unmarried","Sales","White","f",40.5,36.08,"secundaria",FALSE
"65","CS208",43,"Self-Employed",16,"M","Not-in-family","Sales","White","f",35,38.39,"secundaria",FALSE
"66","CS209",1,"Private",14,"S","Wife","Sales","White","f",12.5,39.34,"secundaria",FALSE
"67","CS212",19,"Private",2,"S","Husband","Sales","Amer-Indian-Eskimo","f",40.5,36.84,"universitaria",FALSE
"68","CS216",34,"Private",4,"D","Not-in-family","Sales","White","f",40,43.77,"universitaria",FALSE
"69","CS224",37,"Government",1,"S","Husband","Blue-Collar","White","f",35.5,44.37,"primaria",FALSE
"70","CS225",2,"Private",16,"S","Not-in-family","Sales","White","f",40,36.8,"secundaria",FALSE
"71","CS226",45,"Other/Unknown",13,"D","Own-child","Other/Unknown","Amer-Indian-Eskimo","f",10.5,33.08,"primaria",FALSE
"72","CS228",61,"Private",3,"W","Husband","White-Collar","White","f",20.5,43.33,"universitaria",FALSE
"73","CS229",50,"Private",16,"D","Not-in-family","White-Collar","White","f",40.5,46.71,"secundaria",FALSE
"74","CS231",25,"Private",16,"D","Not-in-family","Sales","Black","f",38.5,43.07,"secundaria",FALSE
"75","CS233",17,"Private",2,"D","Not-in-family","Blue-Collar","Other","f",40,34.72,"universitaria",FALSE
"76","CS236",24,"Government",2,"S","Husband","White-Collar","White","f",38,44.81,"universitaria",FALSE
"77","CS241",25,"Self-Employed",16,"M","Husband","Service","White","f",20.5,37.04,"secundaria",FALSE
"78","CS247",16,"Private",16,"S","Husband","Service","White","f",34.5,37.57,"secundaria",FALSE
